frame,n_total,n_floater,floater_ratio_pct,n_components,largest_comp,second_largest_comp,n_mid_10_17,mid_10_17_sizes,mid_10_17_points
f0000,400,32,8.0,25,272,96,0,[],0
f0001,394,52,13.198,38,161,93,0,[],0
f0002,382,35,9.162,30,336,11,1,[11],11
f0003,393,42,10.687,31,261,90,0,[],0
f0004,382,28,7.33,17,354,6,0,[],0
f0005,379,40,10.554,30,148,89,0,[],0
f0006,398,37,9.296,32,183,94,0,[],0
f0007,367,38,10.354,25,227,91,1,[11],11
f0008,359,25,6.964,21,241,93,0,[],0
f0009,371,35,9.434,28,253,83,0,[],0
f0010,343,39,11.37,32,206,79,0,[],0
f0011,377,55,14.589,34,160,89,0,[],0
f0012,376,38,10.106,29,168,86,0,[],0
f0013,367,27,7.357,22,182,80,0,[],0
f0014,353,33,9.348,26,140,86,1,[11],11
f0015,341,51,14.956,31,135,77,1,[16],16
f0016,312,23,7.372,20,277,12,1,[12],12
f0017,347,34,9.798,24,142,79,0,[],0
f0018,346,22,6.358,21,218,83,0,[],0
f0019,319,31,9.718,22,233,55,0,[],0
f0020,338,34,10.059,22,230,74,0,[],0
f0021,348,28,8.046,22,201,71,0,[],0
f0022,304,28,9.211,21,123,70,0,[],0
f0023,310,20,6.452,17,165,69,0,[],0
f0024,336,35,10.417,25,179,71,0,[],0
f0025,349,32,9.169,23,169,72,2,"[11, 14]",25
f0026,346,36,10.405,28,178,72,0,[],0
f0027,334,34,10.18,24,239,61,0,[],0
f0028,348,34,9.77,22,254,60,0,[],0
f0029,364,26,7.143,17,262,76,0,[],0
f0030,337,26,7.715,23,178,75,0,[],0
f0031,344,28,8.14,17,316,9,0,[],0
f0032,350,24,6.857,18,255,71,0,[],0
f0033,330,19,5.758,17,311,2,0,[],0
f0034,348,40,11.494,27,179,65,0,[],0
f0035,340,47,13.824,29,151,76,0,[],0
f0036,348,26,7.471,24,242,67,1,[13],13
f0037,324,27,8.333,17,235,62,0,[],0
f0038,350,23,6.571,16,248,79,0,[],0
f0039,327,26,7.951,21,159,78,0,[],0
f0040,328,32,9.756,22,165,66,0,[],0
f0041,345,31,8.986,31,151,75,0,[],0
f0042,332,35,10.542,29,227,70,0,[],0
f0043,370,41,11.081,27,154,81,0,[],0
f0044,319,25,7.837,25,155,69,1,[12],12
f0045,319,22,6.897,15,226,71,0,[],0
f0046,322,23,7.143,18,267,20,1,[12],12
f0047,336,37,11.012,28,151,75,0,[],0
f0048,385,45,11.688,27,183,86,0,[],0
f0049,338,26,7.692,21,207,83,0,[],0
f0050,344,28,8.14,20,252,64,0,[],0
f0051,371,49,13.208,26,322,8,0,[],0
f0052,375,29,7.733,20,325,21,0,[],0
f0053,370,38,10.27,23,332,8,0,[],0
f0054,362,35,9.669,25,213,99,1,[15],15
f0055,357,39,10.924,29,231,87,0,[],0
f0056,366,45,12.295,31,257,33,0,[],0
f0057,376,35,9.309,25,272,69,0,[],0
f0058,357,34,9.524,26,268,55,0,[],0
f0059,345,30,8.696,19,270,45,0,[],0
f0060,358,30,8.38,27,249,60,0,[],0
f0061,367,54,14.714,30,258,55,0,[],0
f0062,358,41,11.453,29,247,56,1,[14],14
f0063,356,35,9.831,27,251,55,1,[15],15
f0064,338,21,6.213,20,247,48,0,[],0
f0065,350,23,6.571,17,314,13,1,[13],13
f0066,375,40,10.667,30,318,17,0,[],0
f0067,398,42,10.553,32,271,85,0,[],0
f0068,364,38,10.44,28,314,12,1,[12],12
f0069,401,38,9.476,27,363,5,0,[],0
f0070,393,41,10.433,22,352,7,0,[],0
f0071,372,34,9.14,25,316,22,0,[],0
f0072,434,36,8.295,28,398,5,0,[],0
f0073,415,46,11.084,26,369,9,0,[],0
f0074,413,40,9.685,26,373,6,0,[],0
f0075,454,38,8.37,26,317,99,0,[],0
f0076,392,42,10.714,28,350,6,0,[],0
f0077,414,35,8.454,24,379,4,0,[],0
f0078,419,38,9.069,32,366,15,1,[15],15
f0079,414,36,8.696,30,271,93,1,[14],14
f0080,416,41,9.856,33,248,107,0,[],0
f0081,405,30,7.407,26,357,18,0,[],0
f0082,427,49,11.475,32,245,118,1,[15],15
f0083,417,44,10.552,34,272,101,0,[],0
f0084,412,42,10.194,34,271,87,1,[12],12
f0085,389,46,11.825,30,122,100,0,[],0
f0086,405,39,9.63,27,159,106,0,[],0
f0087,405,32,7.901,29,256,101,1,[16],16
f0088,365,41,11.233,31,137,98,0,[],0
f0089,380,32,8.421,32,143,102,0,[],0
f0090,379,46,12.137,34,233,100,0,[],0
f0091,366,30,8.197,25,239,81,1,[16],16
f0092,381,47,12.336,33,130,95,0,[],0
f0093,381,35,9.186,29,160,96,0,[],0
f0094,375,45,12.0,27,145,93,0,[],0
f0095,383,37,9.661,28,177,86,0,[],0
f0096,367,31,8.447,24,336,4,0,[],0
f0097,364,40,10.989,35,139,88,1,[12],12
f0098,359,25,6.964,24,154,82,0,[],0
f0099,362,25,6.906,23,237,100,0,[],0
