frame_i,frame_j,frame_idx_i,frame_idx_j,frame_idx_gap,confidence_i,confidence_j,body_dot_product,body_flip,swap_vs_noswap_displacement_ratio,wing_swap
f0260,f0270,260,270,10,high,high,0.9973957745537396,False,6.4625633180769455,False
f0270,f0280,270,280,10,high,high,0.9946261155253963,False,8.706379441213711,False
f0280,f0291,280,291,11,high,high,0.9924453911010732,False,20.26017636180072,False
f0291,f0300,291,300,9,high,high,0.9947492374768216,False,80.22838133954018,False
f0300,f0304,300,304,4,high,high,0.9958157941222046,False,56.38537905403933,False
f0304,f0320,304,320,16,high,high,0.9872689584326967,False,5.905615800825253,False
f0320,f0324,320,324,4,high,high,0.9448769511893294,False,47.6105771320999,False
f0324,f0330,324,330,6,high,high,0.9811712549715099,False,21.364349171462397,False
f0330,f0340,330,340,10,high,high,-0.8916041492122887,True,0.22843442257955948,True
f0340,f0360,340,360,20,high,high,-0.7026464227834777,True,0.44536115230784146,True
f0360,f0377,360,377,17,high,high,0.9960812542388324,False,5.39878149860608,False
f0377,f0380,377,380,3,high,high,0.9998648347970074,False,812.7919320431438,False
