trial_id,body_trial,template_trial,split,frames,duration_ms,ended_by,base_freq_hz,com_rms_cm,com_max_cm,orientation_rms_deg,orientation_max_deg,size_kb
Expr113_Mov002__tpl_Expr113_Mov380,Expr113_Mov002,Expr113_Mov380,train,770,154.0,trajectory_end,202.03,0.0332,0.0738,14.4,20.55,408.6
Expr113_Mov003__tpl_Expr113_Mov121,Expr113_Mov003,Expr113_Mov121,train,1276,255.2,trajectory_end,211.94,0.0552,0.0786,16.67,27.08,671.6
Expr113_Mov008__tpl_Expr113_Mov148,Expr113_Mov008,Expr113_Mov148,train,765,153.0,trajectory_end,210.14,0.0973,0.1813,18.07,31.93,404.6
Expr113_Mov009__tpl_Expr113_Mov121,Expr113_Mov009,Expr113_Mov121,train,814,162.8,trajectory_end,211.94,0.0254,0.0409,15.79,24.31,432.5
Expr113_Mov010__tpl_Expr113_Mov024,Expr113_Mov010,Expr113_Mov024,train,574,114.8,trajectory_end,215.65,0.0731,0.1989,18.67,30.39,308.6
Expr113_Mov023__tpl_Expr113_Mov354,Expr113_Mov023,Expr113_Mov354,validation,660,132.0,trajectory_end,198.83,0.2766,0.4081,26.47,38.18,351.2
Expr113_Mov024__tpl_Expr113_Mov186,Expr113_Mov024,Expr113_Mov186,train,704,140.8,trajectory_end,210.38,0.0525,0.0757,13.86,21.68,374.5
Expr113_Mov038__tpl_Expr113_Mov125,Expr113_Mov038,Expr113_Mov125,train,511,102.2,trajectory_end,224.96,0.0631,0.0924,22.69,31.95,273.3
Expr113_Mov039__tpl_Expr113_Mov311,Expr113_Mov039,Expr113_Mov311,train,757,151.4,trajectory_end,202.92,0.0244,0.0456,11.22,15.74,401.4
Expr113_Mov044__tpl_Expr113_Mov118,Expr113_Mov044,Expr113_Mov118,validation,607,121.4,trajectory_end,228.7,0.0438,0.0554,19.28,28.11,325.6
Expr113_Mov056__tpl_Expr113_Mov102,Expr113_Mov056,Expr113_Mov102,train,461,92.2,trajectory_end,215.37,0.0958,0.13,28.0,38.57,248.8
Expr113_Mov058__tpl_Expr113_Mov214,Expr113_Mov058,Expr113_Mov214,train,485,97.0,trajectory_end,221.82,0.0745,0.1293,18.09,29.93,261.0
Expr113_Mov060__tpl_Expr113_Mov194,Expr113_Mov060,Expr113_Mov194,train,576,115.2,trajectory_end,206.79,0.0467,0.0668,15.57,25.06,308.3
Expr113_Mov063__tpl_Expr113_Mov336,Expr113_Mov063,Expr113_Mov336,train,635,127.0,trajectory_end,197.48,0.1134,0.1803,16.53,27.01,338.1
Expr113_Mov067__tpl_Expr113_Mov118,Expr113_Mov067,Expr113_Mov118,validation,471,94.2,trajectory_end,228.7,0.0355,0.0516,20.59,30.25,253.4
Expr113_Mov068__tpl_Expr113_Mov286,Expr113_Mov068,Expr113_Mov286,train,983,196.6,trajectory_end,210.74,0.0961,0.163,19.67,30.72,519.9
Expr113_Mov071__tpl_Expr113_Mov121,Expr113_Mov071,Expr113_Mov121,train,1093,218.6,trajectory_end,211.94,0.045,0.0863,15.67,27.94,575.5
Expr113_Mov073__tpl_Expr113_Mov118,Expr113_Mov073,Expr113_Mov118,validation,1223,244.6,trajectory_end,228.7,0.0326,0.0537,15.33,22.65,643.3
Expr113_Mov079__tpl_Expr113_Mov314,Expr113_Mov079,Expr113_Mov314,train,554,110.8,trajectory_end,209.53,0.1483,0.2266,29.66,47.07,296.1
Expr113_Mov087__tpl_Expr113_Mov314,Expr113_Mov087,Expr113_Mov314,train,1178,235.6,trajectory_end,209.53,0.0334,0.0551,16.78,23.81,620.8
Expr113_Mov093__tpl_Expr113_Mov269,Expr113_Mov093,Expr113_Mov269,train,647,129.4,trajectory_end,213.46,0.1043,0.1525,25.52,36.48,345.9
Expr113_Mov097__tpl_Expr113_Mov121,Expr113_Mov097,Expr113_Mov121,train,605,121.0,trajectory_end,211.94,0.065,0.1097,19.33,38.54,321.4
Expr113_Mov099__tpl_Expr113_Mov377,Expr113_Mov099,Expr113_Mov377,train,703,140.6,trajectory_end,200.47,0.0401,0.0652,12.63,18.72,372.7
Expr113_Mov100__tpl_Expr113_Mov346,Expr113_Mov100,Expr113_Mov346,train,581,116.2,trajectory_end,200.92,0.0949,0.1568,18.81,34.94,311.1
Expr113_Mov102__tpl_Expr113_Mov206,Expr113_Mov102,Expr113_Mov206,train,993,198.6,trajectory_end,213.35,0.0389,0.0757,12.81,21.57,524.5
Expr113_Mov109__tpl_Expr113_Mov114,Expr113_Mov109,Expr113_Mov114,train,392,78.4,trajectory_end,213.26,0.0513,0.0779,16.66,26.81,211.0
